input,correct_label,model_label,type,word_length,corruptions
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: cyan yacn, Label:",True,True,color,4,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: Renault nReluat, Label:",True,False,car,7,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: Senegal eagneSl, Label:",True,False,country,7,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: arcade eadarc, Label:",True,True,other,6,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: tundra urdnta, Label:",True,True,other,6,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: blue belu, Label:",True,True,color,4,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: studio sdoitu, Label:",True,True,other,6,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: Namibia aamibiN, Label:",True,False,country,7,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: kiwi ikiw, Label:",True,True,fruit,4,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: Iceland ecIldna, Label:",True,True,country,7,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: Daihatsu Dstauiha, Label:",True,False,car,8,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: Bhutan uhBtna, Label:",True,True,country,6,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: Lexus sexuL, Label:",True,True,car,5,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: Iceland eIlnadc, Label:",True,True,country,7,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: ocean eonca, Label:",True,True,other,5,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: brown wnobr, Label:",True,True,color,5,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: Mercedes eMcsered, Label:",True,False,car,8,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: green eenrg, Label:",True,True,color,5,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: valley leavyl, Label:",True,True,other,6,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: apple lapep, Label:",True,True,fruit,5,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: gallery eylarlg, Label:",True,True,other,7,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: canyon onacny, Label:",True,True,other,6,0
"Input: Bahrain Jhsarai, Label: False
Input: Toyota otyoaT, Label: True
Input: sienna isnaen, Label: True
Input: theater qocepat, Label: False
Input: grape apegr, Label: True
Input: sienna inanes, Label: True
Input: Fiji vFii, Label: False
Input: pink kinp, Label: True
Input: Guyana afugyG, Label: False
Input: cherry yrkgoo, Label: False
Input: fulvous olfuvsu, Label:",True,True,color,7,0
