input,correct_label,model_label,type,word_length,corruptions
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: cyan yacn, Label:",True,True,color,4,0
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: Renault nReluat, Label:",True,True,car,7,0
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: Senegal eagneSl, Label:",True,True,country,7,0
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: arcade eadarc, Label:",True,True,other,6,0
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: tundra urdnta, Label:",True,True,other,6,0
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: blue belu, Label:",True,True,color,4,0
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: studio sdoitu, Label:",True,True,other,6,0
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: Namibia aamibiN, Label:",True,True,country,7,0
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: kiwi ikiw, Label:",True,True,fruit,4,0
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: Iceland ecIldna, Label:",True,True,country,7,0
"Input: Bhutan piayhD, Label: False
Input: canyon cnanoy, Label: True
Input: boutique qitueuob, Label: True
Input: Slovakia aakgnoGw, Label: False
Input: aquarium juraempa, Label: False
Input: Japan Rabgi, Label: False
Input: library briayrl, Label: True
Input: papaya ppyaaa, Label: True
Input: cavern naevcr, Label: True
Input: Benin ehXhn, Label: False
Input: Daihatsu Dstauiha, Label:",True,False,car,8,0
