input,correct_label,model_label,rhymes,fruit
"Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Starlit sky, whispers passing by., Label: False
Input: Cherries are a pop of sweetness, whether fresh or in desserts., Label: True
Input: Kiwi so green, a tropical dream., Label: False
Input: Banana yellow, a snack so mellow., Label: True
Input: Cherry tree, blossoms set free., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Kiwi so green, a tropical dream., Label: True
Input: Mountains rise high, their peaks touching the sky., Label: False
Input: Peaches, with their velvety skin, are a symbol of summer sweetness., Label: True
Input: Watermelon slice, a summer paradise., Label:",1,True,1,1
"Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Thunderous storm, a nature's form., Label: False
Input: Oranges so bright, a burst of citrus light., Label: True
Input: Rivers meander, a liquid commander, through landscapes wild and tender., Label: False
Input: Grapes in a bunch, a snack for a sweet lunch., Label: True
Input: Watermelons are juicy and hydrating, a summertime favorite., Label: True
Input: Orange citrus, a burst of brightness., Label: True
Input: Children at play, a joyous array, in the golden light of day., Label: False
Input: Garden greens, nature's vibrant scenes., Label: False
Input: Peachy hue, a morning dew., Label: True
Input: Sunsets paint the sky in hues of pink and orange., Label:",0,False,0,0
"Input: Mountains rise high, their peaks touching the sky., Label: False
Input: Peaches in a basket, summer's sweet casket., Label: True
Input: Ocean waves dance, a rhythmic trance, under the sun's warm advance., Label: False
Input: Orange zest, a citrus fest., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Grapevine twist, in the morning mist., Label: True
Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Forest so dense, a haven immense, where nature's secrets commence., Label: False
Input: Mangoes, with their juicy orange flesh, are a tropical delight., Label: True
Input: A book on the shelf, knowledge in itself., Label:",0,False,1,0
"Input: Apples are crisp and refreshing, a perfect snack on a hot day., Label: True
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Banana yellow, a snack so mellow., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Mountains rise high, their peaks touching the sky., Label: False
Input: Pineapple gold, a treat to behold., Label: True
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Sunset glow, casting a warm show., Label: False
Input: Watermelon slice, a summer paradise., Label: True
Input: Wind's soft hum, through trees it does strum, a lullaby that's never glum., Label:",0,True,1,0
"Input: Pineapple delight, a tropical bite., Label: True
Input: Grapes in a bunch, a snack for a sweet lunch., Label: True
Input: Avocado spread, a creamy flavor thread., Label: True
Input: Peaches, with their velvety skin, are a symbol of summer sweetness., Label: True
Input: Stars sparkle in the velvet expanse of the night sky., Label: False
Input: Cherries in a dish, a fruity wish., Label: True
Input: Birds in flight, a graceful sight, against the fading light., Label: False
Input: City lights aglow, a vibrant show, as night begins to grow., Label: False
Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Forest so dense, a haven immense, where nature's secrets commence., Label: False
Input: Mountain peak, where echoes speak., Label:",0,False,1,0
"Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Watermelon slice, a summer paradise., Label: True
Input: Apples are crisp and refreshing, a perfect snack on a hot day., Label: True
Input: Lemons add a zesty and tangy kick to both sweet and savory dishes., Label: True
Input: The wind whispers secrets, unseen and discreet., Label: False
Input: Cherries are a pop of sweetness, whether fresh or in desserts., Label: True
Input: Sunset glow, casting a warm show., Label: False
Input: Berries are a colorful medley of flavors and antioxidants., Label: True
Input: Moonlit night, a gentle light., Label: False
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Pears in a bowl, a sweet and juicy toll., Label:",1,True,1,1
"Input: Sunsets paint the sky in hues of pink and orange., Label: False
Input: Birds in flight, a graceful sight, against the fading light., Label: False
Input: Grapevine twist, in the morning mist., Label: True
Input: Moonlit night, a gentle light., Label: False
Input: Grapefruit sunrise, morning in disguise., Label: True
Input: Autumn leaves, a dance in the breeze., Label: False
Input: Bananas in a bunch, a tropical punch., Label: True
Input: Mangoes are fragrant and tropical, a true delight for the senses., Label: True
Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label: True
Input: Ocean waves crash against the rugged cliffs., Label: False
Input: Candlelight glow, a warmth to know., Label:",0,True,1,0
"Input: Birds in flight, chasing the horizon., Label: False
Input: Ocean waves crash against the rugged cliffs., Label: False
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Mangoes, with their juicy orange flesh, are a tropical delight., Label: True
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Kiwi so green, a tropical dream., Label: True
Input: City lights twinkle as the night comes alive., Label: False
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Grapes come in various colors, from red and green to purple., Label: True
Input: Ocean waves dance, a rhythmic trance, under the sun's warm advance., Label:",0,False,1,0
"Input: Berries are a colorful medley of flavors and antioxidants., Label: True
Input: Stars sparkle in the velvet expanse of the night sky., Label: False
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Sunset glow, casting a warm show., Label: False
Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Birds in flight, a graceful sight, against the fading light., Label: False
Input: Peaches in a basket, summer's sweet casket., Label: True
Input: Cherries are a pop of sweetness, whether fresh or in desserts., Label: True
Input: Mangoes are fragrant and tropical, a true delight for the senses., Label: True
Input: Ocean waves crash against the rugged cliffs., Label: False
Input: Apple red, a crunch in bed., Label:",1,True,1,1
"Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label: True
Input: Children laugh, their joy echoing through the air., Label: False
Input: Grapevine twist, in the morning mist., Label: True
Input: Forest so dense, a haven immense, where nature's secrets commence., Label: False
Input: Garden greens, nature's vibrant scenes., Label: False
Input: Ocean waves crash against the shore, a rhythmic dance., Label: False
Input: Ocean waves crash against the rugged cliffs., Label: False
Input: Orange citrus, a burst of brightness., Label: True
Input: Bananas are a convenient and portable snack for on-the-go., Label: True
Input: Cherry tree, blossoms set free., Label: True
Input: Sunset glow, casting a warm show., Label:",0,True,1,0
"Input: Berries are a colorful medley of flavors and antioxidants., Label: True
Input: Orange zest, a citrus fest., Label: True
Input: Sunset glow, casting a warm show., Label: False
Input: Autumn leaves, a dance in the breeze., Label: False
Input: Grapefruit sunrise, morning in disguise., Label: True
Input: Grapes in a bunch, a snack for a sweet lunch., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: The clock ticks on, a rhythm foregone., Label: False
Input: Raindrops on leaves, a symphony that deceives., Label: False
Input: Peachy hue, a morning dew., Label: True
Input: Flowers in bloom, a fragrant perfume, dispelling any gloom., Label:",0,True,1,0
"Input: Plums are juicy and slightly tart, a versatile fruit., Label: True
Input: Orange zest, a citrus fest., Label: True
Input: Raindrops fall, a soothing call, a gentle rhythm to enthrall., Label: False
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: Lemons add a zesty and tangy kick to both sweet and savory dishes., Label: True
Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Watermelon slice, a summer paradise., Label: True
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: The river flows steadily, carrying stories untold., Label: False
Input: Banana yellow, a snack so mellow., Label:",1,True,1,1
"Input: Lemonade sip, a citrus trip., Label: True
Input: Pineapples bring a tropical flair with their sweet and tangy taste., Label: True
Input: Grapes come in various colors, from red and green to purple., Label: True
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Grapes in a bunch, a snack for a sweet lunch., Label: True
Input: City lights aglow, a vibrant show, as night begins to grow., Label: False
Input: Forest so dense, a haven immense, where nature's secrets commence., Label: False
Input: The moon hangs high, casting a silver glow., Label: False
Input: Grapefruit sunrise, morning in disguise., Label: True
Input: Garden greens, nature's vibrant scenes., Label: False
Input: Orange citrus, a burst of brightness., Label:",1,True,1,1
"Input: Avocado spread, a creamy flavor thread., Label: True
Input: Sunsets blaze, in a fiery daze, painting skies with warm hues ablaze., Label: False
Input: Mountain peak, where echoes speak., Label: False
Input: Watermelons are a hydrating and refreshing choice in hot weather., Label: True
Input: Mangoes, with their juicy orange flesh, are a tropical delight., Label: True
Input: Kiwi so green, a tropical dream., Label: False
Input: Grapes come in clusters, each bite a burst of sweetness., Label: True
Input: The river flows steadily, carrying stories untold., Label: False
Input: Stars above, a celestial trove, in the vast, endless cove., Label: False
Input: Kiwi green, a tropical scene., Label: True
Input: Kiwi green, a tropical dream., Label:",1,True,1,1
"Input: The river flows steadily, carrying stories untold., Label: False
Input: Raindrops fall gently, creating ripples in the pond., Label: False
Input: Cherry tree, blossoms set free., Label: True
Input: Plums are juicy and slightly tart, a versatile fruit., Label: True
Input: Apples are crisp and refreshing, a perfect snack on a hot day., Label: True
Input: Peachy hue, a morning dew., Label: True
Input: A soft breeze rustles through the leaves of the trees., Label: False
Input: Garden greens, nature's vibrant scenes., Label: False
Input: Ocean waves dance, a rhythmic trance, under the sun's warm advance., Label: False
Input: Peaches in a basket, summer's sweet casket., Label: True
Input: Starlit sky, whispers passing by., Label:",0,False,1,0
"Input: City lights, on endless heights., Label: False
Input: Children laugh, their joy echoing through the air., Label: False
Input: Candles flicker, casting a warm and cozy glow., Label: False
Input: Mountains stand tall, guardians of the landscape., Label: False
Input: Kiwi green, a tropical dream., Label: True
Input: Pineapple gold, a treat to behold., Label: True
Input: Plums are plump and juicy, with a slightly tart flavor., Label: True
Input: Grapevine twist, in the morning mist., Label: True
Input: Moonlit night, stars shining bright, a tranquil, peaceful invite., Label: False
Input: Cherry on top, can't stop., Label: True
Input: Cherry tree, blossoms set free., Label:",1,True,1,1
