input,correct_label,model_label,type,word_length,corruptions
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: cyan yacn, Label:",True,True,color,4,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: Renault nReluat, Label:",True,True,car,7,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: Senegal eagneSl, Label:",True,True,country,7,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: arcade eadarc, Label:",True,True,other,6,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: tundra urdnta, Label:",True,True,other,6,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: blue belu, Label:",True,True,color,4,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: studio sdoitu, Label:",True,True,other,6,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: Namibia aamibiN, Label:",True,True,country,7,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: kiwi ikiw, Label:",True,True,fruit,4,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: Iceland ecIldna, Label:",True,True,country,7,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: Daihatsu Dstauiha, Label:",True,False,car,8,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: Bhutan uhBtna, Label:",True,True,country,6,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: Lexus sexuL, Label:",True,True,car,5,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: Iceland eIlnadc, Label:",True,True,country,7,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: ocean eonca, Label:",True,True,other,5,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: brown wnobr, Label:",True,True,color,5,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: Mercedes eMcsered, Label:",True,True,car,8,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: green eenrg, Label:",True,True,color,5,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: valley leavyl, Label:",True,False,other,6,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: apple lapep, Label:",True,True,fruit,5,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: gallery eylarlg, Label:",True,True,other,7,0
"Input: red tir, Label: False
Input: jungle gkckyn, Label: False
Input: desert setedr, Label: True
Input: kiwi iikw, Label: True
Input: Mahindra anrihdMa, Label: True
Input: viridian inraivdi, Label: True
Input: mauve nnmvv, Label: False
Input: Bhutan Brntca, Label: False
Input: Malawi xcMaoa, Label: False
Input: valley laveyl, Label: True
Input: canyon onacny, Label:",True,True,other,6,0
